time_iso,pair,side,price,size,net_pnl,maker
2025-11-05T08:50:09.417Z,ASTER,A,1.012200,24.00000000,0.000000,T
2025-11-05T08:50:09.417Z,ASTER,A,1.012000,24.00000000,0.000000,T
2025-11-05T08:49:56.744Z,ASTER,A,1.008700,24.00000000,-0.715764,T
2025-11-05T08:49:56.744Z,ASTER,A,1.008500,24.00000000,-0.822816,T
2025-11-05T08:49:53.584Z,ASTER,A,1.006200,24.00000000,-0.878016,T
2025-11-05T08:49:49.023Z,ASTER,A,1.006000,24.00000000,-0.882816,T
2025-11-05T08:10:57.557Z,ASTER,B,1.041400,24.00000000,0.000000,T
2025-11-05T08:10:56.016Z,ASTER,B,1.041600,23.00000000,0.000000,T
2025-11-05T08:10:29.342Z,ASTER,B,1.044000,23.00000000,0.000000,T
2025-11-05T08:10:29.141Z,ASTER,B,1.044200,23.00000000,0.000000,T
