time_iso,pair,side,price,size,net_pnl,maker
2025-11-05T06:56:28.360Z,FARTCOIN,B,0.256400,233.90000000,-0.130984,T
2025-11-05T06:53:07.347Z,FARTCOIN,A,0.257500,232.90000000,0.000000,T
2025-11-05T06:53:07.347Z,FARTCOIN,A,0.257500,232.90000000,0.000000,T
2025-11-05T06:51:40.121Z,FARTCOIN,A,0.256300,234.00000000,0.000000,T
2025-11-05T06:51:40.121Z,FARTCOIN,A,0.256300,234.00000000,0.000000,T
2025-11-05T06:50:09.817Z,FARTCOIN,A,0.255800,234.40000000,0.000000,T
2025-11-05T06:49:55.518Z,FARTCOIN,A,0.255700,234.50000000,0.000000,T
2025-11-05T06:41:37.723Z,FARTCOIN,A,0.255400,234.80000000,0.000000,T
2025-11-05T06:41:36.621Z,FARTCOIN,A,0.255300,234.90000000,0.000000,T
2025-11-05T06:34:17.364Z,FARTCOIN,A,0.256200,234.10000000,0.000000,T
2025-11-05T06:34:17.364Z,FARTCOIN,A,0.256100,234.10000000,0.000000,T
2025-11-05T06:32:22.629Z,FARTCOIN,A,0.255000,235.20000000,0.000000,T
2025-11-05T06:32:22.345Z,FARTCOIN,A,0.254900,235.20000000,0.000000,T
2025-11-05T06:24:23.333Z,FARTCOIN,A,0.254100,236.00000000,0.000000,T
2025-11-05T06:24:23.333Z,FARTCOIN,A,0.254100,236.00000000,0.000000,T
2025-11-05T06:23:42.435Z,FARTCOIN,B,0.253600,236.40000000,0.645372,T
2025-11-05T06:23:42.435Z,FARTCOIN,B,0.253600,236.40000000,0.645372,T
2025-11-05T06:21:18.918Z,FARTCOIN,B,0.253900,236.20000000,0.573966,T
2025-11-05T06:21:16.173Z,FARTCOIN,B,0.254000,236.10000000,0.550113,T
2025-11-05T06:21:04.299Z,FARTCOIN,B,0.254700,235.40000000,0.383702,T
2025-11-05T06:21:04.299Z,FARTCOIN,B,0.254700,235.40000000,0.383702,T
2025-11-05T06:17:17.731Z,FARTCOIN,A,0.253900,236.20000000,0.000000,T
2025-11-05T06:17:14.420Z,FARTCOIN,A,0.253800,236.30000000,0.000000,T
2025-11-05T06:16:08.509Z,FARTCOIN,B,0.253200,236.80000000,0.902208,T
2025-11-05T06:16:08.509Z,FARTCOIN,B,0.253200,236.80000000,0.902208,T
2025-11-05T06:11:55.117Z,FARTCOIN,B,0.254500,235.60000000,0.591356,T
2025-11-05T06:11:55.117Z,FARTCOIN,B,0.254600,235.50000000,0.567555,T
2025-11-05T05:56:56.952Z,FARTCOIN,A,0.257200,29.20000000,0.000000,T
2025-11-05T05:56:56.825Z,FARTCOIN,A,0.257200,203.90000000,0.000000,T
2025-11-05T05:56:51.891Z,FARTCOIN,A,0.257100,233.20000000,0.000000,T
2025-11-05T05:52:35.698Z,FARTCOIN,A,0.256700,233.60000000,0.000000,T
2025-11-05T05:52:12.181Z,FARTCOIN,A,0.256600,233.70000000,0.000000,T
2025-11-05T05:51:04.765Z,FARTCOIN,B,0.255900,234.30000000,0.274131,T
2025-11-05T05:36:18.526Z,FARTCOIN,B,0.256700,233.60000000,0.086432,T
2025-11-05T05:36:18.526Z,FARTCOIN,B,0.256700,233.60000000,0.086432,T
2025-11-05T05:33:11.844Z,FARTCOIN,A,0.257500,232.90000000,0.000000,T
2025-11-05T05:33:11.647Z,FARTCOIN,A,0.257400,233.00000000,0.000000,T
2025-11-05T05:28:20.043Z,FARTCOIN,A,0.256300,234.00000000,0.000000,T
2025-11-05T05:17:49.524Z,FARTCOIN,A,0.256900,233.40000000,0.000000,T
2025-11-05T05:17:49.524Z,FARTCOIN,A,0.256900,233.40000000,0.000000,T
2025-11-05T05:16:54.038Z,FARTCOIN,B,0.256300,234.00000000,0.196560,T
2025-11-05T05:16:39.698Z,FARTCOIN,B,0.256800,233.50000000,0.079390,T
2025-11-05T05:16:37.177Z,FARTCOIN,B,0.256900,233.40000000,0.056016,T
2025-11-05T05:12:17.399Z,FARTCOIN,A,0.257600,232.80000000,0.000000,T
2025-11-05T05:12:17.399Z,FARTCOIN,A,0.257500,232.90000000,0.000000,T
2025-11-05T05:09:34.707Z,FARTCOIN,B,0.256300,234.00000000,0.168480,T
2025-11-05T05:09:34.707Z,FARTCOIN,B,0.256300,234.00000000,0.168480,T
2025-11-05T05:08:48.750Z,FARTCOIN,A,0.257100,233.20000000,0.000000,T
2025-11-05T05:08:48.750Z,FARTCOIN,A,0.257000,233.30000000,0.000000,T
2025-11-05T05:06:58.110Z,FARTCOIN,A,0.256200,234.10000000,0.000000,T
2025-11-05T05:06:56.913Z,FARTCOIN,A,0.256100,234.10000000,0.000000,T
