time_iso,pair,side,price,size,net_pnl,maker
2025-11-05T20:33:09.840Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:33:06.329Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:31:38.806Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:31:35.492Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:20:51.934Z,BOME,B,0.000838,78560.00000000,-0.157120,T
2025-11-05T20:20:51.934Z,BOME,B,0.000838,2021440.00000000,-4.042880,T
2025-11-05T20:16:05.610Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T20:16:01.490Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T20:14:33.579Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T20:14:30.049Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T20:12:57.405Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T20:12:53.581Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T20:11:29.334Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:11:26.734Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T20:09:37.148Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:09:33.765Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:08:02.130Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:07:58.328Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:06:31.552Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:06:27.782Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T20:04:31.304Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T20:04:27.678Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T20:02:58.673Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:02:54.913Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:01:26.893Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T20:01:23.409Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:59:22.013Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:59:17.978Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:57:50.259Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:57:46.294Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:56:15.747Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:56:12.114Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:54:43.564Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:54:40.054Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:53:09.822Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:53:05.981Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:51:37.442Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:51:33.612Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:48:48.964Z,BOME,A,0.000833,43750.00000000,0.000000,T
2025-11-05T19:48:45.241Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:47:16.084Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:47:11.925Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:45:42.583Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:45:39.056Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:44:10.101Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:44:06.454Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:42:37.942Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:42:34.367Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:40:39.295Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:40:36.197Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:39:05.648Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:39:02.218Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:37:33.699Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:37:30.395Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:36:26.307Z,BOME,B,0.000839,671033.00000000,-2.013099,T
2025-11-05T19:36:26.307Z,BOME,B,0.000839,275070.00000000,-0.825210,T
2025-11-05T19:36:26.307Z,BOME,B,0.000838,1914822.00000000,-3.829644,T
2025-11-05T19:36:26.307Z,BOME,B,0.000838,1864075.00000000,-3.728150,T
2025-11-05T19:36:11.421Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:36:07.880Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:34:39.429Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:34:35.876Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:33:04.956Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:33:01.216Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:31:33.233Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:31:29.348Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:29:59.846Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:29:56.662Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:28:30.093Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:28:26.622Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:26:58.389Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T19:26:55.122Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T19:25:27.498Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:25:24.168Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:24:05.280Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:24:01.935Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:22:36.488Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:22:33.372Z,BOME,A,0.000836,43750.00000000,0.000000,T
2025-11-05T19:21:03.889Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T19:20:59.849Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:19:29.969Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:19:26.775Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:17:56.043Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:17:52.066Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:16:24.786Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:16:20.235Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T19:14:30.912Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:14:27.233Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:12:56.610Z,BOME,A,0.000834,43750.00000000,0.000000,T
2025-11-05T19:12:52.899Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:11:23.941Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:11:19.781Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:09:10.911Z,BOME,A,0.000833,43750.00000000,0.000000,T
2025-11-05T19:09:07.350Z,BOME,A,0.000833,43750.00000000,0.000000,T
2025-11-05T19:07:39.411Z,BOME,A,0.000833,43750.00000000,0.000000,T
2025-11-05T19:07:36.126Z,BOME,A,0.000833,43750.00000000,0.000000,T
2025-11-05T19:06:06.953Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:06:03.317Z,BOME,A,0.000835,43750.00000000,0.000000,T
2025-11-05T19:04:31.609Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T19:04:27.584Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T19:02:58.549Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:02:54.969Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T19:01:23.130Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T19:01:19.150Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T18:59:37.370Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T18:59:34.131Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T18:58:05.095Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T18:58:01.494Z,BOME,A,0.000837,43750.00000000,0.000000,T
2025-11-05T18:56:32.678Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T18:56:28.995Z,BOME,A,0.000840,43750.00000000,0.000000,T
2025-11-05T18:55:10.898Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T18:55:07.449Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T18:53:44.631Z,BOME,A,0.000840,31250.00000000,0.000000,T
2025-11-05T18:53:40.976Z,BOME,A,0.000840,31250.00000000,0.000000,T
2025-11-05T18:52:16.097Z,BOME,A,0.000843,31250.00000000,0.000000,T
2025-11-05T18:52:12.355Z,BOME,A,0.000844,31250.00000000,0.000000,T
2025-11-05T18:49:12.626Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T18:49:08.563Z,BOME,A,0.000841,43750.00000000,0.000000,T
2025-11-05T18:47:37.340Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T18:47:33.951Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T18:46:02.772Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T18:45:59.097Z,BOME,A,0.000838,43750.00000000,0.000000,T
2025-11-05T18:44:32.605Z,BOME,A,0.000839,43750.00000000,0.000000,T
2025-11-05T18:44:29.347Z,BOME,A,0.000839,43750.00000000,0.000000,T
